"X.1","tree.id","tree.ref","ref.is.self","ref.is.ref","ref.is.tree","ref.missing","plot.id","foc","cmp","species","dbh","ba20","ref","brg.to.ref","backbrg","dist.to.ref","notes","tree.or.logger","former.id","X","brg.to.ref.true","x","y","dummy.coords","elev","voronoi.area","radius","radius.external"
114,"2051","2050",FALSE,FALSE,TRUE,FALSE,"RS77","X",NA,"PSME",33.9,12,"2050",214,FALSE,18.8,"","tree","","",227.5,17793.62272,-10338.25271,0,1363.34382848014,64.5988031,132.432118470255,143.83374
115,"2041","2040",FALSE,FALSE,TRUE,FALSE,"RS85B","X",NA,"PSME",81.1,15,"2040",310,TRUE,7.1,"","tree","","",143.5,16668.29956,-11845.16111,0,1428.01620505478,26.22337411,NA,300.61326
116,"1411","1409",FALSE,FALSE,TRUE,FALSE,"RR20","X",NA,"PSME",39,3,"1409",114,FALSE,18,"","tree","","",127.5,62493.30996,-86540.48479,0,1719.45692518973,104.4367189,153.737224874663,160.7739
117,"2009","2008",FALSE,FALSE,TRUE,FALSE,"RS98F","X",NA,"PIPO",34.4,9,"2008",188,TRUE,5.2,"","tree","","",21.5,31552.98099,-32306.77892,0,1214.73458079527,8.360129312,133.209769225171,145.49454
118,"2026","2025",FALSE,FALSE,TRUE,FALSE,"RS58","X",NA,"PSME",61.6,7,"2025",95,FALSE,20,"","tree","","",108.5,30513.77169,-33507.85345,0,1254.24464987663,23.0762176,NA,235.84206
119,"2502","2501",FALSE,FALSE,TRUE,FALSE,"SA03","X",NA,"ABCO",42.8,7,"2501",158,FALSE,10.6,"","tree","","",171.5,28003.4642,-48924.16938,0,1459.83684497175,25.71144764,NA,173.39598
120,"2509","2500",FALSE,TRUE,FALSE,FALSE,"SA03","X",NA,"PIPO",126.7,8,"2500",249,TRUE,37.3,"","tree","","",82.5,27981.83695,-48938.91963,0,1460.75252374596,65.28740984,NA,452.07822
121,"2528","2527",FALSE,FALSE,TRUE,FALSE,"RS10","X",NA,"PIPO",115.1,4,"2527",322,TRUE,13.2,"","tree","","",155.5,33178.84678,-52947.22824,0,1276.38940100965,92.77639481,199.419941312994,413.54766
122,"2535","2534",FALSE,TRUE,FALSE,FALSE,"RS10","X",NA,"PSME",49.2,9,"2534",271,FALSE,11.6,"","tree","","",284.5,33204.1919,-53003.2998,0,1279.00867788874,NA,NA,194.65422
123,"2572","2569",FALSE,FALSE,TRUE,FALSE,"RT02","X",NA,"ABCO",37.2,14,"2569",110,FALSE,13.6,"","tree","","",123.5,28482.60192,-52323.71672,0,1201.29708331796,33.75630816,128.496233079429,154.79502
124,"1388","1387",FALSE,FALSE,TRUE,FALSE,"ZA03","X",NA,"PIPO",58.5,8,"1387",145,FALSE,22.3,"","tree","","",158.5,-49176.3509,130844.7272,0,1687.2762009666,NA,NA,225.5451
125,"1308","1307",FALSE,FALSE,TRUE,FALSE,"SSA15","X",NA,"PIPO",52,7,"1307",57,FALSE,8.7,"","tree","","",70.5,-61818.42419,111674.5019,0,728.014341534272,32.64203961,NA,203.9547
